temperature,humidity,pressure,wind_speed,wind_direction,rainfall,location,date,latitude,longitude
22.3,76.4,1008.4,14.0,E,1.6,Chennai,2010-01-01,13.0827,80.2707
25.0,76.7,1008.8,7.5,E,3.8,Chennai,2010-01-04,13.0827,80.2707
26.0,73.3,1012.4,11.2,NE,5.5,Chennai,2010-01-07,13.0827,80.2707
24.4,82.6,1005.3,10.2,E,1.2,Chennai,2010-01-10,13.0827,80.2707
21.3,69.5,1013.8,10.6,E,3.1,Chennai,2010-01-13,13.0827,80.2707
27.2,75.6,1009.5,10.3,NE,2.9,Chennai,2010-01-16,13.0827,80.2707
23.7,68.9,1007.1,9.6,NE,6.3,Chennai,2010-01-19,13.0827,80.2707
26.4,76.2,1007.8,8.3,E,4.1,Chennai,2010-01-22,13.0827,80.2707
25.4,71.7,1013.9,8.0,NE,2.8,Chennai,2010-01-25,13.0827,80.2707
23.1,74.9,1005.7,12.8,NE,0.1,Chennai,2010-01-28,13.0827,80.2707
23.4,72.2,1012.3,7.0,E,0.8,Chennai,2010-01-31,13.0827,80.2707
25.4,68.5,1014.0,15.8,N,4.9,Chennai,2010-02-01,13.0827,80.2707
26.2,70.8,1007.1,2.7,N,4.2,Chennai,2010-02-04,13.0827,80.2707
25.6,69.7,1009.8,7.7,N,5.1,Chennai,2010-02-07,13.0827,80.2707
23.7,83.1,1012.8,7.4,E,0.8,Chennai,2010-02-10,13.0827,80.2707
22.8,75.7,1005.9,11.0,N,5.3,Chennai,2010-02-13,13.0827,80.2707
25.1,72.4,1005.7,9.9,NE,1.3,Chennai,2010-02-16,13.0827,80.2707
25.2,76.0,1013.9,6.7,E,7.0,Chennai,2010-02-19,13.0827,80.2707
24.6,72.7,1009.8,5.1,E,1.5,Chennai,2010-02-22,13.0827,80.2707
22.9,82.8,1008.7,8.1,NE,3.9,Chennai,2010-02-25,13.0827,80.2707
21.2,69.3,1010.1,7.3,N,3.8,Chennai,2010-02-28,13.0827,80.2707
31.4,71.3,1009.1,9.0,SE,3.4,Chennai,2010-03-01,13.0827,80.2707
36.7,51.0,1007.9,18.7,S,3.2,Chennai,2010-03-04,13.0827,80.2707
36.7,59.8,1014.4,11.0,SE,9.6,Chennai,2010-03-07,13.0827,80.2707
30.6,63.3,1013.8,20.1,ESE,7.3,Chennai,2010-03-10,13.0827,80.2707
37.9,70.0,1010.6,18.2,ESE,5.5,Chennai,2010-03-13,13.0827,80.2707
34.9,58.0,1012.6,19.4,S,5.2,Chennai,2010-03-16,13.0827,80.2707
35.0,72.5,1008.0,15.6,S,4.4,Chennai,2010-03-19,13.0827,80.2707
31.7,77.6,1011.2,13.8,S,10.9,Chennai,2010-03-22,13.0827,80.2707
30.3,58.9,1007.5,16.1,S,6.0,Chennai,2010-03-25,13.0827,80.2707
32.7,57.6,1013.7,16.9,SE,8.6,Chennai,2010-03-28,13.0827,80.2707
33.0,62.7,1012.0,16.9,E,2.0,Chennai,2010-03-31,13.0827,80.2707
34.4,66.4,1012.8,19.6,S,4.6,Chennai,2010-04-01,13.0827,80.2707
28.8,74.7,1014.9,17.5,ESE,9.6,Chennai,2010-04-04,13.0827,80.2707
33.0,65.8,1011.2,13.0,ESE,2.5,Chennai,2010-04-07,13.0827,80.2707
36.5,72.9,1010.6,13.2,E,6.6,Chennai,2010-04-10,13.0827,80.2707
34.7,56.0,1005.3,9.9,S,2.0,Chennai,2010-04-13,13.0827,80.2707
32.1,63.0,1009.8,12.4,ESE,3.2,Chennai,2010-04-16,13.0827,80.2707
33.1,77.1,1012.4,11.3,SE,5.9,Chennai,2010-04-19,13.0827,80.2707
